#gene	KO-hom	KO-het	DMG-hom	DMG-het	BEN-hom	BEN-het
ACTR3	0	0	0	11	18	310
ACTR3B	0	0	0	71	12	441
ACTR3BP2	0	16	0	3	1	76
ACTR3BP5	0	0	0	0	30	579
ACTR3C	1	24	1	87	0	12
ACTR5	0	0	1	89	23	587
ACTR6	0	0	0	6	13	303
ACTR8	0	1	11	229	14	354
ACTRT1	0	6	1	50	1	115
ACTRT2	0	0	1	105	16	282
ACTRT3	0	0	10	213	5	182
ACVR1	0	0	0	23	9	321
ACVR1B	0	0	5	69	27	608
ACVR1C	0	0	0	31	0	429
ACVR2A	0	0	0	7	1	141
ACVR2B	0	0	0	10	15	834
ACVR2B-AS1	0	0	0	0	61	1035
ACVRL1	0	0	8	174	29	674
ACY1	0	1	1	46	4	129
ACY3	0	2	1	58	20	347
ACYP1	0	0	0	2	2	55
ACYP2	0	0	0	6	2	131
ADA	0	0	6	196	3	133
ADAD1	0	0	0	19	36	333
ADAD2	0	0	1	188	4	280
ADAL	0	1	1	52	30	443
ADAM10	0	0	0	15	17	522
ADAM11	1	33	0	58	12	486
ADAM12	0	0	1	150	69	1305
ADAM15	0	0	10	138	29	505
ADAM17	0	0	24	165	29	391
ADAM18	0	4	23	350	27	296
ADAM19	0	0	17	549	20	798
ADAM1A	15	182	24	251	3	113
ADAM2	0	2	3	133	0	52
ADAM20	0	4	1	90	18	410
ADAM20P1	0	1	1	149	31	1004
ADAM21	0	0	3	144	12	438
ADAM21P1	0	22	0	29	11	345
ADAM22	0	0	7	304	108	1623
ADAM23	0	0	0	21	0	30
ADAM28	0	0	33	708	30	459
ADAM29	0	113	42	307	4	177
ADAM30	0	0	0	37	0	47
ADAM32	0	13	5	138	23	255
ADAM33	10	147	19	414	99	1554
ADAM3A	5	37	22	136	114	557
ADAM5	0	0	0	2	1196	14166
ADAM6	0	0	4	34	60	236
ADAM7	0	2	10	153	25	574
ADAM8	0	1	23	377	1	73
ADAM9	0	0	6	83	9	243
ADAMDEC1	0	0	8	181	19	406
ADAMTS1	0	0	3	183	39	770
ADAMTS10	0	0	11	379	28	530
ADAMTS12	0	0	42	548	24	542
ADAMTS13	0	12	45	794	41	889
ADAMTS14	0	0	15	429	79	1479
ADAMTS15	0	0	30	331	36	887
ADAMTS16	0	0	29	431	97	1421
ADAMTS17	4	60	6	141	117	2042
ADAMTS18	0	1	1	140	5	378
ADAMTS19	0	1	10	265	13	511
ADAMTS2	0	0	26	501	50	1168
ADAMTS20	0	1	7	405	6	262
ADAMTS3	0	0	2	122	27	661
ADAMTS4	0	0	11	321	10	485
ADAMTS5	0	0	10	229	49	1397
ADAMTS6	0	0	2	87	19	677
ADAMTS7	0	3	101	811	159	1821
ADAMTS8	0	2	27	312	47	794
ADAMTS9	0	1	3	344	60	1220
ADAMTS9-AS2	0	0	0	0	4045	81802
ADAMTSL1	0	1	22	556	59	1206
ADAMTSL2	0	0	0	27	13	298
ADAMTSL3	0	0	18	485	88	1186
ADAMTSL4	0	0	20	380	17	369
ADAMTSL5	0	0	3	101	19	481
ADAP1	0	0	0	7	49	1137
ADAP2	0	1	0	10	2	136
ADAR	0	0	0	55	6	217
ADARB1	0	0	0	39	47	1573
ADARB2	0	0	18	274	114	1806
ADARB2-AS1	0	0	2	53	2	85
ADAT1	0	1	23	276	28	636
ADAT2	0	0	9	61	33	886
ADAT3	0	0	0	82	1	105
ADC	0	0	6	229	47	1295
ADCK1	0	2	0	32	37	678
ADCK2	0	0	0	96	9	154
ADCK3	0	0	6	146	9	316
ADCK4	0	0	3	126	19	822
ADCK5	0	0	0	46	0	79
ADCY1	0	0	1	42	28	1508
ADCY10	0	0	19	358	40	561
ADCY10P1	8	122	0	15	453	9484
ADCY2	0	0	8	191	25	641
ADCY3	0	0	0	70	51	647
ADCY4	0	0	17	229	51	586
ADCY5	0	0	3	93	60	1112
ADCY6	0	0	27	299	23	470
ADCY7	0	0	0	86	21	773
ADCY8	0	0	1	82	6	242
ADCY9	0	0	4	146	22	854
ADCYAP1	0	0	0	14	34	605
ADCYAP1R1	0	0	0	21	29	851
ADD1	0	0	0	220	37	1616
ADD2	0	0	1	140	34	964
ADD3	0	0	0	76	25	559
ADGB	0	0	33	325	40	490
ADH1A	0	0	0	11	1	64
ADH1B	0	0	9	141	8	467
ADH1C	0	0	0	26	10	189
ADH4	0	0	7	133	0	29
ADH5	0	0	1	31	65	1432
ADH6	0	0	0	82	14	314
ADH7	0	2	13	194	23	620
ADHFE1	0	0	0	37	1	169
